depth "temperature (K)" "grain size (m)"
360.34 244.390245538972 0.003844313468443
360.43 244.390324275994 0.004068820121413
360.52 244.390403013016 0.003523395343172
360.61 244.390481750038 0.003522697835416
360.7 244.39056048706 0.003515525009397
360.79 244.390639224082 0.003181190859075
387.84 244.414304073472 0.003449966482297
387.93 244.414382810494 0.003382283379423
388.02 244.414461547516 0.003947843793667
388.11 244.414540284538 0.00362018083552
388.2 244.41461902156 0.004057947061756
388.29 244.414697758582 0.003345041930007
415.34 244.438362607972 0.003708198003779
415.43 244.438441344994 0.003479903788957
415.52 244.438520082016 0.00387545270513
415.61 244.438598819038 0.003866917705011
415.7 244.43867755606 0.003438123364765
415.79 244.438756293082 0.00357409536868
442.84 244.462421142472 0.003817308556775
442.93 244.462499879494 0.003484772123033
443.02 244.462578616516 0.003159810237204
443.11 244.462657353538 0.003636708463292
443.2 244.46273609056 0.00335643206757
443.29 244.462814827582 0.004146221534007
464.84 244.481667970072 0.003699259923134
464.93 244.481746707094 0.003828865033144
465.02 244.481825444116 0.004075011345554
465.11 244.481904181138 0.003437730792763
465.2 244.48198291816 0.003378562067703
465.29 244.482061655182 0.003561655155031
497.84 244.510538211472 0.003738001884413
497.93 244.510616948494 0.003982299313901
498.02 244.510695685516 0.00374091305487
498.11 244.510774422538 0.003620655607571
498.2 244.51085315956 0.003432287569258
498.29 244.510931896582 0.003571137343757
525.34 244.534596745972 0.003643581584251
525.43 244.534675482994 0.003475673433238
525.52 244.534754220016 0.003514566922752
525.61 244.534832957038 0.003321895374735
525.7 244.53491169406 0.003890519808953
525.79 244.534990431082 0.003560630812197
552.84 244.558655280472 0.003767333434296
552.93 244.558734017494 0.00369617816008
553.02 244.558812754516 0.00352130602123
553.11 244.558891491538 0.003755282485989
553.2 244.55897022856 0.003786935299713
553.29 244.559048965582 0.003474896729235
580.34 244.582713814972 0.003608926332714
580.43 244.582792551994 0.003223293649769
580.52 244.582871289016 0.003692197334592
580.61 244.582950026038 0.003498899838777
580.7 244.58302876306 0.003745658001926
580.79 244.583107500082 0.004018043980252
607.29 244.606291178782 0.003796304220003
607.38 244.606369915804 0.003469898956577
607.47 244.606448652826 0.003322941583687
607.56 244.606527389848 0.003792546000382
607.65 244.60660612687 0.003691041919651
607.74 244.606684863892 0.003182259320205
630.39 244.626500347762 0.003563547537236
630.48 244.626579084784 0.003792344562082
630.57 244.626657821806 0.003209273811268
630.66 244.626736558828 0.00338786332015
630.75 244.62681529585 0.003313369711896
630.84 244.626894032872 0.003247570514658
652.39 244.645747175362 0.003614813338992
652.48 244.645825912384 0.003273705865396
652.57 244.645904649406 0.003563708316589
652.66 244.645983386428 0.003560512806138
652.75 244.64606212345 0.003281591628867
