         320
         143         144         152         151
         144         145         153         152
          73          74         155         154
          74          75         156         155
          75          76         157         156
          76          77         158         157
          77          78         159         158
          78          79         160         159
          79          80         161         160
          80          81         146         161
         154         155         163         162
         155         156         164         163
         156         157         165         164
         157         158         166         165
         158         159         167         166
         159         160         168         167
         160         161         169         168
         161         146         147         169
         162         163         171         170
         163         164         172         171
         164         165         173         172
         165         166         174         173
         166         167         175         174
         167         168         176         175
         168         169         177         176
         169         147         148         177
         170         171         179         178
         171         172         180         179
         172         173         181         180
         173         174         182         181
         174         175         183         182
         175         176         184         183
         176         177         185         184
         177         148         149         185
         178         179         187         186
         179         180         188         187
         180         181         189         188
         181         182         190         189
         182         183         191         190
         183         184         192         191
         184         185         193         192
         185         149         150         193
         186         187         195         194
         187         188         196         195
         188         189         197         196
         189         190         198         197
         190         191         199         198
         191         192         200         199
         192         193         201         200
         193         150         151         201
         194         195         203         202
         195         196         204         203
         196         197         205         204
         197         198         206         205
         198         199         207         206
         199         200         208         207
         200         201         209         208
         201         151         152         209
         202         203         211         210
         203         204         212         211
         204         205         213         212
         205         206         214         213
         206         207         215         214
         207         208         216         215
         208         209         217         216
         209         152         153         217
          89         218         226          97
         218         219         227         226
         219         220         228         227
         220         221         229         228
         221         222         230         229
         222         223         231         230
         223         224         232         231
         224         225         233         232
          97         226         234         105
         226         227         235         234
         227         228         236         235
         228         229         237         236
         229         230         238         237
         230         231         239         238
         231         232         240         239
         232         233         241         240
         105         234         242         113
         234         235         243         242
         235         236         244         243
         236         237         245         244
         237         238         246         245
         238         239         247         246
         239         240         248         247
         240         241         249         248
         113         242         250         121
         242         243         251         250
         243         244         252         251
         244         245         253         252
         245         246         254         253
         246         247         255         254
         247         248         256         255
         248         249         257         256
         121         250         258         129
         250         251         259         258
         251         252         260         259
         252         253         261         260
         253         254         262         261
         254         255         263         262
         255         256         264         263
         256         257         265         264
         129         258         266         137
         258         259         267         266
         259         260         268         267
         260         261         269         268
         261         262         270         269
         262         263         271         270
         263         264         272         271
         264         265         273         272
         137         266         274         145
         266         267         275         274
         267         268         276         275
         268         269         277         276
         269         270         278         277
         270         271         279         278
         271         272         280         279
         272         273         281         280
         145         274         282         153
         274         275         283         282
         275         276         284         283
         276         277         285         284
         277         278         286         285
         278         279         287         286
         279         280         288         287
         280         281         289         288
         210         211         291         290
         211         212         292         291
         212         213         293         292
         213         214         294         293
         214         215         295         294
         215         216         296         295
         216         217         297         296
         217         153         282         297
         290         291         299         298
         291         292         300         299
         292         293         301         300
         293         294         302         301
         294         295         303         302
         295         296         304         303
         296         297         305         304
         297         282         283         305
         298         299         307         306
         299         300         308         307
         300         301         309         308
         301         302         310         309
         302         303         311         310
         303         304         312         311
         304         305         313         312
         305         283         284         313
         306         307         315         314
         307         308         316         315
         308         309         317         316
         309         310         318         317
         310         311         319         318
         311         312         320         319
         312         313         321         320
         313         284         285         321
         314         315         323         322
         315         316         324         323
         316         317         325         324
         317         318         326         325
         318         319         327         326
         319         320         328         327
         320         321         329         328
         321         285         286         329
         322         323         331         330
         323         324         332         331
         324         325         333         332
         325         326         334         333
         326         327         335         334
         327         328         336         335
         328         329         337         336
         329         286         287         337
         330         331         339         338
         331         332         340         339
         332         333         341         340
         333         334         342         341
         334         335         343         342
         335         336         344         343
         336         337         345         344
         337         287         288         345
         338         339         347         346
         339         340         348         347
         340         341         349         348
         341         342         350         349
         342         343         351         350
         343         344         352         351
         344         345         353         352
         345         288         289         353
