# Velocities along transect, interpolated from C3S annual ice velocity map of Greenland 2021
# Distance is measured in meters from westpoint of segment. Velocities in m/yr.
# Linear interpolation of 2D velocity map. Oversampled at dx = 50m.
# Horizontal resolution of 250 m.
# Location of CC: distance = 138300.0 m.
# distance	vel_east	vel_north	vel_proj
318800.0	-6.723523731694312	-3.5223522506715925	6.943579094033006
318850.0	-6.7162177291017	-3.4045228314971614	6.928426807373155
318900.0	-6.708769606206062	-3.2838323970574996	6.9129418062187185
318950.0	-6.701479236929193	-3.171835439734758	6.89819430884052
319000.0	-6.706232647063034	-3.4946105448520086	6.92447538870654
319050.0	-6.710818328145471	-3.8147930930800213	6.95041611620313
319100.0	-6.714328746475934	-4.129727742386456	6.9749337936536335
319150.0	-6.716763902054326	-4.439414492773611	6.998028421058109
319200.0	-6.71821577247726	-4.739931415566354	7.019530067011269
319250.0	-6.725163339126119	-4.78231668023758	7.029290449384939
319300.0	-6.73193511771407	-4.834907443420574	7.0395564320192525
319350.0	-6.738531108241067	-4.897703705117594	7.050328014914318
319400.0	-6.74495131070706	-4.97070546532911	7.061605198070117
319450.0	-6.751230169369334	-5.053501770053821	7.073394926673445
319500.0	-6.766686845120999	-5.029850347756607	7.087238930814405
319550.0	-6.781873033352927	-5.0074600974259225	7.100897206283771
319600.0	-6.796788734065107	-4.986331019062216	7.114369753081562
319650.0	-6.811433947257568	-4.966463112665081	7.1276565712077815
319700.0	-6.825808672930282	-4.947856378234756	7.140757660662415
319750.0	-6.821867222449471	-4.9054018341114745	7.13399207144916
319800.0	-6.8178052761084	-4.863439660839407	7.12713911005553
319850.0	-6.813760620812655	-4.822157888168437	7.1203488032076265
319900.0	-6.809733256562199	-4.781556516098471	7.1136211509054075
319950.0	-6.805723183357071	-4.741635544629602	7.106956153148917
320000.0	-6.823094261499709	-4.615692581359177	7.115884542613728
320050.0	-6.840480507896963	-4.490617685590365	7.124885991275674
320100.0	-6.857471224172647	-4.368079310989581	7.133662049365462
320150.0	-6.874066410326622	-4.248077457557631	7.142212716883006
320200.0	-6.890266066359034	-4.130612125293679	7.150537993828397
320250.0	-6.897760201535348	-4.133813316918368	7.158229036277834
320300.0	-6.904667772327649	-4.14068787332781	7.165579939422503
320350.0	-6.911245502715798	-4.147562429736773	7.172601737318894
320400.0	-6.917493392699578	-4.154436986146216	7.179294429966854
320450.0	-6.9234114422792175	-4.161311542555179	7.185658017366546
320500.0	-6.911546558496178	-4.082592334150162	7.168566771991921
320550.0	-6.899061739532586	-3.9985058239584874	7.150498821736662
320600.0	-6.886713201842242	-3.91267805242246	7.132450657435543
