30859	   40.6280
30990	   41.9724
31120	   43.3171
31250	   44.6628
31380	   46.0096
31510	   47.3574
31641	   48.7050
31771	   50.0534
31901	   51.4017
32031	   52.7491
32161	   54.0979
32292	   55.4477
32422	   56.7960
32552	   58.1437
32682	   59.4914
32812	   60.8391
32943	   62.1843
33073	   63.5290
33203	   64.8752
33333	   66.2218
33464	   67.5649
33594	   68.9035
33724	   70.2437
33854	   71.5810
33984	   72.9188
34115	   74.2548
34245	   75.5868
34375	   76.9243
34505	   78.2510
34635	   79.5727
34766	   80.8988
34896	   82.2223
35026	   83.5417
35156	   84.8528
35286	   86.1660
35417	   87.4783
35547	   88.7778
35677	   90.0810
35807	   91.3866
35938	   92.6767
36068	   93.9701
36198	   95.2632
36328	   96.5505
36458	   97.8290
36589	   99.0611
36719	  100.3339
36849	  101.6348
36979	  102.8699
37109	  104.1265
37240	  105.3919
37370	  106.6352
37500	  107.8653
