#Points_Magnitude  strain_rate_tensor_Magnitude  velocity_Magnitude
1.285  5.04267e-10  8.72017e-11
1.286  5.04267e-10  8.76431e-11
1.287  5.04267e-10  8.80845e-11
1.288  5.04267e-10  8.85259e-11
1.289  5.04267e-10  8.89674e-11
1.29  5.07911e-10  8.94088e-11
1.291  5.07911e-10  8.98502e-11
1.292  5.07911e-10  9.02916e-11
1.293  5.07911e-10  9.0733e-11
1.294  5.07911e-10  9.11745e-11
1.295  5.07911e-10  9.16159e-11
1.296  5.07911e-10  9.20573e-11
1.297  5.00874e-10  9.24916e-11
1.298  5.00874e-10  9.28754e-11
1.299  5.00874e-10  9.32592e-11
1.3  5.00874e-10  9.3643e-11
1.301  5.00874e-10  9.40268e-11
1.302  5.00874e-10  9.44107e-11
1.303  5.00874e-10  9.47945e-11
1.304  5.00874e-10  9.51783e-11
1.305  4.95637e-10  9.55621e-11
1.306  4.95637e-10  9.5946e-11
1.307  4.95637e-10  9.63298e-11
1.308  4.95637e-10  9.67136e-11
1.309  4.95637e-10  9.70975e-11
1.31  4.95637e-10  9.74813e-11
1.311  4.95637e-10  9.78652e-11
1.312  4.95637e-10  9.8249e-11
1.313  5.07553e-10  9.86467e-11
1.314  5.07553e-10  9.90582e-11
1.315  5.07553e-10  9.94698e-11
1.316  5.07553e-10  9.98813e-11
1.317  5.07553e-10  1.00293e-10
1.318  5.07553e-10  1.00704e-10
1.319  5.07553e-10  1.01116e-10
1.32  5.07553e-10  1.01528e-10
1.321  5.12072e-10  1.01939e-10
1.322  5.12072e-10  1.02351e-10
1.323  5.12072e-10  1.02762e-10
1.324  5.12072e-10  1.03174e-10
1.325  5.12072e-10  1.03585e-10
1.326  5.12072e-10  1.03997e-10
1.327  5.12072e-10  1.04408e-10
1.328  5.12072e-10  1.0482e-10
1.329  5.267e-10  1.05241e-10
1.33  5.267e-10  1.05664e-10
1.331  5.267e-10  1.06087e-10
1.332  5.267e-10  1.06509e-10
1.333  5.267e-10  1.06932e-10
1.334  5.267e-10  1.07355e-10
1.335  5.267e-10  1.07778e-10
1.336  5.21896e-10  1.082e-10
1.337  5.21896e-10  1.08623e-10
1.338  5.21896e-10  1.09046e-10
1.339  5.21896e-10  1.09469e-10
1.34  5.21896e-10  1.09891e-10
1.341  5.21896e-10  1.10314e-10
1.342  5.21896e-10  1.10737e-10
1.343  5.21896e-10  1.1116e-10
1.344  5.27262e-10  1.11582e-10
1.345  5.27262e-10  1.12002e-10
1.346  5.27262e-10  1.12421e-10
1.347  5.27262e-10  1.12841e-10
1.348  5.27262e-10  1.13261e-10
1.349  5.27262e-10  1.13681e-10
1.35  5.27262e-10  1.14101e-10
