  3.87500000E+00 -1.00000000E+00  6.87964752E-02 -1.59633157E-02
  3.90000000E+00 -1.00000000E+00  6.86665022E-02 -1.67903146E-02
  3.92500000E+00 -1.00000000E+00  6.85370361E-02 -1.76355625E-02
  3.95000000E+00 -1.00000000E+00  6.84081277E-02 -1.84990463E-02
  3.97500000E+00 -1.00000000E+00  6.82798258E-02 -1.93807467E-02
  4.00000000E+00 -1.00000000E+00  6.81521767E-02 -2.02806382E-02
  4.02500000E+00 -1.00000181E+00  6.80251624E-02 -2.11986977E-02
  4.05000000E+00 -1.00001442E+00  6.78985147E-02 -2.21349308E-02
  4.07499997E+00 -1.00004847E+00  6.77718885E-02 -2.30893422E-02
  4.09999988E+00 -1.00011442E+00  6.76449210E-02 -2.40619249E-02
  4.12499965E+00 -1.00022252E+00  6.75172326E-02 -2.50526594E-02
  4.14999913E+00 -1.00038288E+00  6.73884271E-02 -2.60615119E-02
  4.17499813E+00 -1.00060540E+00  6.72580925E-02 -2.70884335E-02
  4.19999638E+00 -1.00089980E+00  6.71258019E-02 -2.81333585E-02
  4.22499355E+00 -1.00127563E+00  6.69911143E-02 -2.91962036E-02
  4.24998918E+00 -1.00174225E+00  6.68535754E-02 -3.02768663E-02
  4.27498274E+00 -1.00230882E+00  6.67127192E-02 -3.13752237E-02
  4.29997359E+00 -1.00298433E+00  6.65680686E-02 -3.24911316E-02
  4.32496097E+00 -1.00377758E+00  6.64191373E-02 -3.36244233E-02
  4.34994403E+00 -1.00469720E+00  6.62654307E-02 -3.47749086E-02
  4.37492175E+00 -1.00575159E+00  6.61064476E-02 -3.59423726E-02
  4.39989302E+00 -1.00694899E+00  6.59416816E-02 -3.71265752E-02
  4.42485659E+00 -1.00829744E+00  6.57706226E-02 -3.83272502E-02
  4.44981106E+00 -1.00980478E+00  6.55927583E-02 -3.95441044E-02
  4.47475491E+00 -1.01147867E+00  6.54075760E-02 -4.07768173E-02
  4.49968647E+00 -1.01332655E+00  6.52145640E-02 -4.20250406E-02
  4.52460393E+00 -1.01535568E+00  6.50132134E-02 -4.32883975E-02
  4.54950534E+00 -1.01757309E+00  6.48030193E-02 -4.45664830E-02
  4.57438859E+00 -1.01998562E+00  6.45834830E-02 -4.58588631E-02
  4.59925145E+00 -1.02259992E+00  6.43541131E-02 -4.71650755E-02
  4.62409154E+00 -1.02542240E+00  6.41144274E-02 -4.84846289E-02
  4.64890632E+00 -1.02845926E+00  6.38639543E-02 -4.98170041E-02
  4.67369314E+00 -1.03171651E+00  6.36022342E-02 -5.11616538E-02
  4.69844917E+00 -1.03519991E+00  6.33288213E-02 -5.25180032E-02
  4.72317150E+00 -1.03891503E+00  6.30432849E-02 -5.38854506E-02
  4.74785703E+00 -1.04286717E+00  6.27452109E-02 -5.52633685E-02
  4.77250257E+00 -1.04706146E+00  6.24342030E-02 -5.66511040E-02
  4.79710480E+00 -1.05150276E+00  6.21098842E-02 -5.80479800E-02
  4.82166026E+00 -1.05619572E+00  6.17718980E-02 -5.94532966E-02
  4.84616539E+00 -1.06114474E+00  6.14199094E-02 -6.08663318E-02
  4.87061652E+00 -1.06635400E+00  6.10536067E-02 -6.22863434E-02
  4.89500986E+00 -1.07182743E+00  6.06727017E-02 -6.37125702E-02
  4.91934155E+00 -1.07756873E+00  6.02769313E-02 -6.51442335E-02
  4.94360762E+00 -1.08358135E+00  5.98660583E-02 -6.65805389E-02
  4.96780400E+00 -1.08986850E+00  5.94398720E-02 -6.80206781E-02
  4.99192657E+00 -1.09643314E+00  5.89981895E-02 -6.94638306E-02
  5.01597113E+00 -1.10327799E+00  5.85408556E-02 -7.09091657E-02
  5.03993341E+00 -1.11040553E+00  5.80677441E-02 -7.23558443E-02
  5.06380909E+00 -1.11781798E+00  5.75787579E-02 -7.38030210E-02
  5.08759381E+00 -1.12551731E+00  5.70738295E-02 -7.52498463E-02
  5.11128316E+00 -1.13350524E+00  5.65529211E-02 -7.66954683E-02
  5.13487269E+00 -1.14178327E+00  5.60160253E-02 -7.81390351E-02
  5.15835797E+00 -1.15035262E+00  5.54631646E-02 -7.95796969E-02
  5.18173452E+00 -1.15921426E+00  5.48943916E-02 -8.10166078E-02
  5.20499787E+00 -1.16836894E+00  5.43097893E-02 -8.24489283E-02
  5.22814356E+00 -1.17781715E+00  5.37094701E-02 -8.38758270E-02
  5.25116715E+00 -1.18755913E+00  5.30935761E-02 -8.52964829E-02
  5.27406420E+00 -1.19759489E+00  5.24622786E-02 -8.67100871E-02
  5.29683034E+00 -1.20792419E+00  5.18157772E-02 -8.81158451E-02
  5.31946121E+00 -1.21854655E+00  5.11542998E-02 -8.95129785E-02
  5.34195254E+00 -1.22946128E+00  5.04781012E-02 -9.09007268E-02
  5.36430010E+00 -1.24066743E+00  4.97874630E-02 -9.22783491E-02
  5.38649974E+00 -1.25216383E+00  4.90826921E-02 -9.36451259E-02
  5.40854738E+00 -1.26394910E+00  4.83641203E-02 -9.50003608E-02
  5.43043905E+00 -1.27602163E+00  4.76321026E-02 -9.63433816E-02
  5.45217088E+00 -1.28837957E+00  4.68870167E-02 -9.76735419E-02
  5.47373909E+00 -1.30102091E+00  4.61292615E-02 -9.89902226E-02
  5.49514004E+00 -1.31394340E+00  4.53592559E-02 -1.00292833E-01
  5.51637020E+00 -1.32714458E+00  4.45774375E-02 -1.01580811E-01
  5.53742620E+00 -1.34062183E+00  4.37842611E-02 -1.02853626E-01
  5.55830479E+00 -1.35437230E+00  4.29801977E-02 -1.04110777E-01
  5.57900289E+00 -1.36839301E+00  4.21657325E-02 -1.05351797E-01
  5.59951756E+00 -1.38268074E+00  4.13413638E-02 -1.06576249E-01
  5.61984607E+00 -1.39723214E+00  4.05076017E-02 -1.07783732E-01
  5.63998582E+00 -1.41204369E+00  3.96649658E-02 -1.08973875E-01
  5.65993441E+00 -1.42711171E+00  3.88139846E-02 -1.10146345E-01
  5.67968964E+00 -1.44243236E+00  3.79551933E-02 -1.11300838E-01
  5.69924951E+00 -1.45800167E+00  3.70891329E-02 -1.12437087E-01
  5.71861219E+00 -1.47381554E+00  3.62163479E-02 -1.13554859E-01
  5.73777610E+00 -1.48986971E+00  3.53373855E-02 -1.14653953E-01
  5.75673986E+00 -1.50615984E+00  3.44527939E-02 -1.15734203E-01
  5.77550229E+00 -1.52268145E+00  3.35631209E-02 -1.16795475E-01
  5.79406246E+00 -1.53942995E+00  3.26689123E-02 -1.17837668E-01
  5.81241967E+00 -1.55640068E+00  3.17707109E-02 -1.18860712E-01
  5.83057344E+00 -1.57358885E+00  3.08690548E-02 -1.19864572E-01
  5.84852354E+00 -1.59098963E+00  2.99644766E-02 -1.20849240E-01
  5.86626997E+00 -1.60859807E+00  2.90575018E-02 -1.21814739E-01
  5.88381300E+00 -1.62640918E+00  2.81486480E-02 -1.22761123E-01
  5.90115311E+00 -1.64441790E+00  2.72384234E-02 -1.23688472E-01
  5.91829107E+00 -1.66261911E+00  2.63273265E-02 -1.24596894E-01
  5.93522787E+00 -1.68100765E+00  2.54158442E-02 -1.25486524E-01
  5.95196479E+00 -1.69957832E+00  2.45044520E-02 -1.26357521E-01
  5.96850333E+00 -1.71832588E+00  2.35936125E-02 -1.27210070E-01
  5.98484528E+00 -1.73724505E+00  2.26837747E-02 -1.28044377E-01
  6.00099268E+00 -1.75633056E+00  2.17753738E-02 -1.28860672E-01
  6.01694781E+00 -1.77557708E+00  2.08688305E-02 -1.29659204E-01
  6.03271324E+00 -1.79497931E+00  1.99645501E-02 -1.30440242E-01
  6.04829179E+00 -1.81453191E+00  1.90629227E-02 -1.31204075E-01
  6.06368652E+00 -1.83422957E+00  1.81643223E-02 -1.31951007E-01
  6.07890079E+00 -1.85406696E+00  1.72691071E-02 -1.32681359E-01
